etunimi;sukunimi;puhelin;sahkoposti;henkilotunnus;lahiosoite;postinumero;postitoimipaikka;
Juha;Virtanen;0444740243;juha.virtanen@gmail.com;120345-123A;Koskenpäänkatu;24100;SALO;
Juha;Hämäläinen;0501733004;juha.hämäläinen@gmail.com;120345-123A;Kujanpääntie;24100;SALO;
Markku;Mäkelä;0402433965;markku.mäkelä@gmail.com;120345-123A;Kulkurinkuja;24100;SALO;
Timo;Lehtonen;0443637637;timo.lehtonen@gmail.com;120345-123A;Kylväjänkatu;24100;SALO;
Mikko;Nieminen;0443525858;mikko.nieminen@gmail.com;120345-123A;Kyntäjänkuja;24100;SALO;
Markku;Nieminen;0409016430;markku.nieminen@gmail.com;120345-123A;Leinonkatu;24100;SALO;
Seppo;Korhonen;0501900809;seppo.korhonen@gmail.com;120345-123A;Listijänkuja;24100;SALO;
Jari;Korhonen;0404083370;jari.korhonen@gmail.com;120345-123A;Lukkarinkuja;24100;SALO;
Jari;Nieminen;0444734722;jari.nieminen@gmail.com;120345-123A;Lumikonkuja;24100;SALO;
Seppo;Nieminen;0404671589;seppo.nieminen@gmail.com;120345-123A;Länsiranta;24100;SALO;
Jari;Mäkinen;0445775764;jari.mäkinen@gmail.com;120345-123A;Maaluntie;24100;SALO;
Seppo;Virtanen;0445764608;seppo.virtanen@gmail.com;120345-123A;Majavankatu;24100;SALO;
Jukka;Mäkelä;0441125622;jukka.mäkelä@gmail.com;120345-123A;Mariankatu;24100;SALO;
Antti;Mäkinen;0403527585;antti.mäkinen@gmail.com;120345-123A;Martinkatu;24100;SALO;
Pekka;Virtanen;0507520745;pekka.virtanen@gmail.com;120345-123A;Menninkäisenkatu;24100;SALO;
Jukka;Korhonen;0409838576;jukka.korhonen@gmail.com;120345-123A;Meritalonkatu;24100;SALO;
Kari;Mäkinen;0443113599;kari.mäkinen@gmail.com;120345-123A;Metsämiehentie;24100;SALO;
Matti;Niemi;0509319770;matti.niemi@gmail.com;120345-123A;Minkinkatu;24100;SALO;
Mikko;Korhonen;0503649318;mikko.korhonen@gmail.com;120345-123A;Moisionkuja;24100;SALO;
Antti;Mäkelä;0443769942;antti.mäkelä@gmail.com;120345-123A;Myllyojankatu;24100;SALO;
Timo;Koskinen;0409689743;timo.koskinen@gmail.com;120345-123A;Mököistenkatu;24100;SALO;
Jari;Hämäläinen;0444249690;jari.hämäläinen@gmail.com;120345-123A;Nallenpiha;24100;SALO;
Mika;Nieminen;0501824860;mika.nieminen@gmail.com;120345-123A;Niittäjänkuja;24100;SALO;
Jukka;Nieminen;0503822189;jukka.nieminen@gmail.com;120345-123A;Nummilankatu;24100;SALO;
Timo;Järvinen;0501185357;timo.järvinen@gmail.com;120345-123A;Oraspiha;24100;SALO;
Timo;Hämäläinen;0406938732;timo.hämäläinen@gmail.com;120345-123A;Oskarinkatu;24100;SALO;
Antti;Korhonen;0509082879;antti.korhonen@gmail.com;120345-123A;Paasionkatu;24100;SALO;
Markku;Korhonen;0506654129;markku.korhonen@gmail.com;120345-123A;Peikonkatu;24100;SALO;
Mikko;Koskinen;0404260713;mikko.koskinen@gmail.com;120345-123A;Perniöntie;24100;SALO;
Juha;Järvinen;0442907956;juha.järvinen@gmail.com;120345-123A;Peurankatu;24100;SALO;
Antti;Virtanen;0507425036;antti.virtanen@gmail.com;120345-123A;Piisaminkatu;24100;SALO;
Juha;Heikkinen;0503305803;juha.heikkinen@gmail.com;120345-123A;Pohjatalonkatu;24100;SALO;
Timo;Heikkinen;0408276164;timo.heikkinen@gmail.com;120345-123A;Poninpiha;24100;SALO;
Timo;Salminen;0406400526;timo.salminen@gmail.com;120345-123A;Portimonkatu;24100;SALO;
Kari;Lehtonen;0505039806;kari.lehtonen@gmail.com;120345-123A;Puimalankatu;24100;SALO;
Matti;Koskinen;0407473498;matti.koskinen@gmail.com;120345-123A;Pursimiehenkatu;24100;SALO;
Ritva;Virtanen;0446498310;ritva.virtanen@gmail.com;120345-123A;Raivaajankatu;24100;SALO;
Ville;Virtanen;0406815856;ville.virtanen@gmail.com;120345-123A;Ratakatu;24100;SALO;
Jari;Mäkelä;0446521916;jari.mäkelä@gmail.com;120345-123A;Ratsumiehenkatu;24100;SALO;
Juha;Koskinen;0448227019;juha.koskinen@gmail.com;120345-123A;Rauhalanpuistotie;24100;SALO;
Matti;Heikkilä;0403781710;matti.heikkilä@gmail.com;120345-123A;Rauhalinnankatu;24100;SALO;
Juha;Laine;0504381845;juha.laine@gmail.com;120345-123A;Ristinummenkatu;24100;SALO;
Timo;Rantanen;0446423359;timo.rantanen@gmail.com;120345-123A;Roviomäenkatu;24100;SALO;
Antti;Nieminen;0508160345;antti.nieminen@gmail.com;120345-123A;Rummunlyöjänkatu;24100;SALO;
Timo;Tuominen;0441793702;timo.tuominen@gmail.com;120345-123A;Rådhusgatan;24100;SALO;
Hannu;Virtanen;0401498312;hannu.virtanen@gmail.com;120345-123A;Saharannankuja;24100;SALO;
Jari;Laine;0506879354;jari.laine@gmail.com;120345-123A;Salitunkatu;24100;SALO;
Pekka;Mäkelä;0502664687;pekka.mäkelä@gmail.com;120345-123A;Salonkatu;24100;SALO;
Timo;Heikkilä;0405936296;timo.heikkilä@gmail.com;120345-123A;Satamakatu;24100;SALO;
Jukka;Mäkinen;0441213302;jukka.mäkinen@gmail.com;120345-123A;Siilinpiha;24100;SALO;
Matti;Lehtonen;0406199026;matti.lehtonen@gmail.com;120345-123A;Sokerikatu;24100;SALO;
Matti;Turunen;0503504631;matti.turunen@gmail.com;120345-123A;Sudenkatu;24100;SALO;
Matti;Salminen;0446161807;matti.salminen@gmail.com;120345-123A;Supinkuja;24100;SALO;
Markku;Koskinen;0507237038;markku.koskinen@gmail.com;120345-123A;Tallikuja;24100;SALO;
Kari;Lehtinen;0446359916;kari.lehtinen@gmail.com;120345-123A;Talonpojankuja;24100;SALO;
Pirkko;Virtanen;0508478028;pirkko.virtanen@gmail.com;120345-123A;Tammenmäenkatu;24100;SALO;
Jari;Järvinen;0502650898;jari.järvinen@gmail.com;120345-123A;Tehdaskatu;24100;SALO;
Tuula;Nieminen;0441195496;tuula.nieminen@gmail.com;120345-123A;Terhinkuja;24100;SALO;
Mika;Virtanen;0441995812;mika.virtanen@gmail.com;120345-123A;Torikatu;24100;SALO;
Timo;Salonen;0409288980;timo.salonen@gmail.com;120345-123A;Tuiskunkatu;24100;SALO;
Hannu;Mäkelä;0501120905;hannu.mäkelä@gmail.com;120345-123A;Tupurinkatu;24100;SALO;
Antti;Hämäläinen;0445396753;antti.hämäläinen@gmail.com;120345-123A;Turuntie;24100;SALO;
Jari;Lehtonen;0406547839;jari.lehtonen@gmail.com;120345-123A;Tähtelänkuja;24100;SALO;
Antti;Heikkilä;0505923727;antti.heikkilä@gmail.com;120345-123A;Umpiaidankatu;24100;SALO;
Jukka;Lehtinen;0406451739;jukka.lehtinen@gmail.com;120345-123A;Uskelankatu;24100;SALO;
Pekka;Mäkinen;0401509028;pekka.mäkinen@gmail.com;120345-123A;Vainionkatu;24100;SALO;
Jukka;Koskinen;0444771206;jukka.koskinen@gmail.com;120345-123A;Valimonkatu;24100;SALO;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
